p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
92.071, 0.415903, 0.0254789, -11.5625, 640, 2.93375, 0.548042, 2.26681, 2.24416, 2.04907, 2.02942, 1.64473, 0
85.7657, -0.212841, 2.08679, -17.8678, 599, 0.25459, 0.487305, 2.62903, 1.96766, 1.86241, 1.63665, 1.53648, 0.00489026
82.9733, 0.420822, 1.20048, -20.6602, 556, 0.264498, 0.57223, 3.22397, 2.36684, 2.35206, 2.13259, 2.05593, 0.0145555
66.7092, -0.0713144, 4.86816, -36.9243, 485, 0.244828, 0.453804, 2.02558, 1.99608, 1.81377, 1.39485, 1.25663, 0.0286054
62.8844, -0.462213, 0.750752, -40.7492, 433, 0.253041, 0.576921, 4.85005, 2.06295, 1.79003, 1.70632, 1.70457, 0.0444959
62.6377, -0.458214, 5.47183, -40.9958, 458, 0.236016, 0.579979, 2.67805, 2.56721, 2.24788, 1.87585, 1.73687, 0
61.7315, -0.280728, 3.74526, -41.9021, 359, 0.255327, 0.536795, 2.13455, 2.08747, 1.6658, 1.52226, 1.51326, 0.013237
61.6994, -0.196656, 0.262378, -41.9341, 398, 0.307776, 0.522876, 2.73523, 1.96824, 1.79344, 1.64526, 1.50503, 0
61.5572, 0.420862, 4.33841, -42.0764, 486, 0.260002, 0.504567, 2.05214, 2.0484, 1.69798, 1.63607, 1.57663, 0
58.3837, 0.210586, 1.91765, -45.2498, 407, 0.249456, 0.48251, 2.24102, 1.93314, 1.78961, 1.73053, 1.46877, 0
35.3157, 0.0787926, 3.27083, -68.3178, 224, 0.179612, 0.50451, 1.80558, 1.3994, 1.30335, 1.22336, 1.10631, 0.0267539
24.3586, 0.4853, 4.78862, -79.275, 183, 0.1921, 0.553604, 1.73299, 1.56807, 1.54396, 1.13457, 1.11205, 0.038252
12.1607, 0.315128, 0.466956, -91.4728, 104, 0.124378, 0.434311, 1.56714, 1.03265, 0.954611, 0.896491, 0.704647, 0
10.4361, 0.0471983, 1.3673, -93.1975, 71, 0.0881973, 0.579781, 2.12511, 1.35579, 1.21357, 1.11217, 0.866409, 0
96.2639, 0.0790302, 6.22363, -6.51905, 662, 2.58183, 0.503999, 3.64306, 3.18826, 2.84337, 1.87981, 1.69139, 0.00705949
90.8395, -0.292639, 2.93603, -11.9435, 491, 0.252695, 0.574933, 2.2787, 2.11884, 1.91482, 1.68351, 1.67456, 0.00177644
88.4815, 0.242756, 3.76826, -14.3014, 596, 0.245902, 0.491564, 2.34832, 1.99012, 1.63732, 1.58637, 1.53937, 0.016976
85.6233, -0.203221, 1.56658, -17.1596, 632, 0.263586, 0.475685, 1.92857, 1.56822, 1.52068, 1.50057, 1.46966, 0.00699737
67.1483, -0.358656, 3.74611, -35.6347, 412, 0.236796, 0.583898, 1.85408, 1.83405, 1.80352, 1.72757, 1.43637, 0
64.2292, -0.424641, 0.189414, -38.5537, 391, 1.9107, 0.573475, 2.59121, 2.41551, 1.80821, 1.80679, 1.65105, 0.0167919
54.2377, 0.352465, 5.43576, -48.5452, 386, 0.228931, 0.52658, 2.38495, 2.09438, 1.87973, 1.64815, 1.60706, 0
36.8102, -0.0117523, 3.35636, -65.9728, 218, 0.212486, 0.504249, 1.39283, 1.37071, 1.27593, 1.21286, 1.16296, 0
32.6203, -0.0462491, 4.76518, -70.1627, 169, 0.210482, 0.639613, 2.1309, 2.11641, 1.79195, 1.56651, 1.47792, 0.165635
31.2619, 0.24749, 1.50608, -71.521, 238, 0.225618, 0.480952, 1.61303, 1.39303, 1.22929, 1.18419, 1.17259, 0
29.7687, -0.0481294, 1.10809, -73.0142, 250, 0.220309, 0.413454, 1.45688, 1.3514, 1.23508, 1.2005, 1.13912, 0.0164767
14.8988, -0.189764, 5.89789, -87.8841, 99, 0.148233, 0.573031, 4.0708, 1.47623, 1.3107, 0.901516, 0.883128, 0.00648466
10.1753, 0.22003, 2.94372, -92.6077, 91, 0.173913, 0.423969, 1.50505, 1.13897, 0.818041, 0.677521, 0.671669, 0.00953329
98.6136, 0.0141688, 3.04685, 0.473941, 643, 0.256407, 0.508317, 1.85281, 1.71577, 1.64353, 1.53489, 1.47797, 0.00585749
93.4708, -0.233793, 1.46201, -4.66881, 682, 0.27135, 0.516413, 2.61473, 2.37191, 2.33903, 1.86671, 1.83565, 0.0111994
