p_T, Eta, Phi, p_T-corr, N-Trk, Angularity, Mean-p_T, p_T_1, p_T_2, p_T_3, p_T_4, p_T_5, X_tru
87.9484, 0.106925, 6.2372, -16.1216, 549, 2.83584, 0.526637, 3.07065, 2.23537, 1.81581, 1.79127, 1.7189, 0.00600813
81.6567, -0.155725, 2.1686, -22.4133, 570, 0.260665, 0.510355, 1.75632, 1.65408, 1.65221, 1.63142, 1.58552, 0
72.4534, 0.0963449, 1.15761, -31.6167, 536, 0.253455, 0.503148, 2.32359, 2.17717, 2.15692, 2.00368, 1.71984, 0.00627258
64.8744, -0.247214, 0.725252, -39.1957, 420, 0.256627, 0.518995, 1.71051, 1.69345, 1.58262, 1.50484, 1.48064, 0.00304497
57.2443, 0.386474, 3.94971, -46.8258, 377, 0.252402, 0.515715, 1.98732, 1.93082, 1.71029, 1.63733, 1.49596, 0
49.0649, 0.283107, 1.82208, -55.0052, 368, 0.220991, 0.450136, 1.9149, 1.63493, 1.60718, 1.49145, 1.33037, 0
43.0723, -0.104295, 2.76563, -60.9978, 289, 0.235783, 0.478581, 2.58962, 1.25817, 1.22099, 1.17888, 1.14014, 0.00134177
34.9252, -0.19172, 3.38542, -69.1448, 193, 0.167896, 0.612723, 2.25381, 2.06456, 1.91735, 1.87561, 1.43332, 0
31.6974, 0.231943, 2.52194, -72.3726, 220, 0.264953, 0.511249, 1.59657, 1.42165, 1.38098, 1.2191, 1.16422, 0
27.6327, -0.156614, 0.267037, -76.4374, 165, 0.742876, 0.502412, 1.74568, 1.69167, 1.58815, 1.34001, 1.25778, 0
27.4738, -0.215341, 5.68407, -76.5962, 200, 0.192303, 0.528343, 2.13634, 1.59152, 1.43501, 1.24459, 1.08504, 0
23.4073, -0.177517, 5.07651, -80.6628, 150, 0.1766, 0.531984, 2.84691, 1.56616, 1.36812, 1.12756, 1.08119, 0.0034159
20.3076, -0.194016, 1.55309, -83.7625, 192, 0.225352, 0.41444, 1.26557, 1.0406, 1.02533, 0.996976, 0.840517, 0
12.4105, 0.267901, 0.741599, -91.6596, 94, 0.154949, 0.517104, 1.97327, 1.76406, 1.51307, 1.18051, 1.03462, 0
99.2343, -0.040616, 4.64829, -11.2371, 700, 0.272615, 0.493703, 2.12042, 2.05872, 1.943, 1.90867, 1.81222, 0.0226827
90.3817, -0.407192, 1.6631, -20.0896, 575, 0.25348, 0.551108, 3.49516, 2.23682, 1.82624, 1.80078, 1.65274, 0.032524
89.0918, -0.477513, 5.52241, -21.3796, 558, 0.23054, 0.567463, 2.71459, 2.359, 2.23749, 1.87153, 1.77391, 0.0120565
82.1391, 0.30864, 5.77148, -28.3323, 465, 0.267297, 0.543967, 2.4546, 2.30855, 1.90418, 1.83589, 1.73727, 0.0163306
76.0087, 0.315112, 5.35779, -34.4627, 468, 0.249757, 0.510126, 2.02408, 1.85605, 1.72849, 1.65968, 1.63969, 0.00615214
60.0718, -0.0935909, 0.624678, -50.3996, 356, 0.229836, 0.526945, 2.36597, 1.74815, 1.66147, 1.61181, 1.55307, 0.0308418
58.3244, -0.252019, 3.77691, -52.147, 370, 0.229776, 0.571807, 2.64706, 2.50865, 1.86357, 1.72429, 1.49376, 0.023693
58.322, 0.422293, 1.76144, -52.1494, 403, 0.220587, 0.516124, 2.40685, 2.12667, 1.82319, 1.81955, 1.41864, 0.0401196
47.0915, -0.492874, 2.19643, -63.3799, 362, 0.269051, 0.581376, 1.90514, 1.86206, 1.69231, 1.59847, 1.45706, 0.011608
43.7372, 0.20825, 3.79753, -66.7342, 290, 0.222187, 0.502727, 2.24359, 2.04437, 1.58044, 1.56279, 1.45679, 0.00639537
32.7528, -0.000496539, 2.6426, -77.7186, 222, 0.228791, 0.53693, 3.21438, 2.12496, 2.11584, 1.58179, 1.55382, 0
24.2711, 0.121993, 1.24098, -86.2003, 170, 0.176478, 0.485422, 2.3601, 1.80826, 1.57277, 1.4357, 1.19996, 0.00381016
20.1497, -0.165272, 6.21817, -90.3217, 139, 1.42376, 0.503742, 2.08654, 1.26018, 1.24211, 1.2398, 1.14704, 0.0411739
19.1682, -0.469662, 2.63753, -91.3031, 137, 0.195425, 0.580856, 1.79479, 1.23685, 1.20273, 1.10296, 0.865134, 0
12.797, -0.251592, 5.19022, -97.6744, 112, 0.139785, 0.355472, 1.10335, 1.06719, 0.808489, 0.748282, 0.633849, 0
12.6057, -0.442004, 0.242043, -97.8657, 85, 0.113434, 0.525238, 1.60202, 1.15879, 1.10756, 1.10644, 0.869215, 0.0115141
91.9223, 0.156928, 3.14674, -15.0206, 559, 0.268867, 0.488949, 2.5605, 2.38634, 2.20612, 1.90834, 1.86331, 0.00554715
88.3616, -0.282688, 5.03053, -18.5813, 606, 0.242868, 0.496414, 2.29015, 1.82758, 1.73651, 1.63879, 1.62906, 0.0326946
87.5614, -0.110761, 5.71971, -19.3815, 609, 0.248704, 0.47076, 2.68507, 2.26912, 1.93678, 1.9211, 1.82945, 0.000657522
86.9808, 0.283359, 1.7369, -19.9622, 579, 0.263411, 0.50866, 2.28414, 2.10887, 2.03692, 1.71421, 1.66463, 0.0152739
84.3385, -0.384529, 1.36957, -22.6045, 524, 0.266344, 0.562256, 2.50578, 2.42067, 1.85963, 1.79041, 1.71366, 0.0131312
76.3497, 0.0118123, 2.23537, -30.5933, 486, 0.257802, 0.499018, 2.09586, 2.06796, 1.82735, 1.8159, 1.70386, 0.0169202
75.057, 0.466153, 0.18109, -31.8859, 486, 0.265625, 0.620306, 2.97483, 2.35141, 2.2715, 2.25543, 2.13793, 0.0429019
69.0765, -0.270836, 3.05968, -37.8664, 434, 0.262663, 0.535477, 2.14163, 1.93741, 1.76245, 1.72583, 1.57146, 0.0136624
66.3523, 0.0348009, 3.75956, -40.5906, 461, 0.235767, 0.502669, 2.80213, 2.3646, 2.15893, 1.88266, 1.6497, 0.00255424
53.8138, 0.00840016, 6.17236, -53.1292, 299, 3.88351, 0.56056, 2.27374, 1.93495, 1.82445, 1.7304, 1.72539, 0
52.8541, -0.480303, 6.25279, -54.0888, 344, 3.93012, 0.574502, 2.08559, 1.90543, 1.85758, 1.76882, 1.72216, 0
29.3633, 0.0426795, 0.322616, -77.5797, 225, 0.229132, 0.506263, 1.88771, 1.67813, 1.65554, 1.49545, 1.22365, 0
12.342, 0.366153, 0.784711, -94.601, 81, 0.13499, 0.587714, 1.91911, 1.49233, 1.31758, 1.23183, 0.804567, 0.020396
96.1398, 0.184145, 0.801439, -8.74912, 554, 0.275384, 0.562221, 3.88301, 3.81698, 2.72366, 2.3671, 2.1298, 0.0586673
89.4263, -0.233356, 2.88832, -15.4626, 550, 0.264064, 0.532299, 1.99934, 1.88477, 1.76447, 1.75393, 1.65165, 0.000188764
79.3759, 0.0293911, 4.12459, -25.513, 518, 0.243437, 0.49922, 2.59176, 2.34763, 1.78603, 1.4783, 1.31016, 0.00102965
75.9365, 0.292308, 2.05809, -28.9524, 504, 0.248028, 0.50289, 2.90328, 2.20705, 2.02018, 1.55842, 1.53799, 0.0163425
62.3112, 0.35804, 5.05178, -42.5777, 415, 0.250212, 0.561362, 2.52152, 2.08827, 1.99914, 1.97656, 1.56603, 0
59.7141, -0.237119, 3.71037, -45.1748, 360, 0.291582, 0.514777, 2.4416, 1.56009, 1.54157, 1.49815, 1.46028, 0
53.0699, -0.116163, 5.38297, -51.819, 402, 0.23507, 0.431462, 1.78083, 1.53081, 1.44629, 1.3525, 1.27283, 0.0139583
46.8397, 0.201313, 0.29457, -58.0492, 332, 0.232148, 0.468397, 3.01991, 1.71916, 1.48229, 1.39548, 1.26048, 0.00326406
33.0074, -0.403035, 4.26039, -71.8815, 214, 0.229349, 0.532377, 2.15953, 1.90001, 1.83801, 1.39358, 1.28173, 0.00386068
32.7677, -0.36214, 1.88735, -72.1212, 271, 0.206926, 0.49648, 1.91439, 1.74529, 1.53783, 1.50769, 1.10367, 0
23.1992, -0.149977, 1.07271, -81.6898, 153, 0.201987, 0.515537, 1.7459, 1.60814, 1.41443, 1.25453, 1.05157, 0.00634872
11.5622, 0.315155, 4.58044, -93.3267, 60, 0.0934044, 0.642344, 1.84696, 1.55051, 1.51643, 1.49358, 0.790989, 0.0861397
10.712, 0.366418, 5.67003, -94.1769, 88, 0.120123, 0.48691, 1.07191, 1.0329, 0.999062, 0.806144, 0.796696, 0
99.7264, -0.198716, 2.50068, -2.22844, 535, 0.271514, 0.586626, 4.00395, 3.40364, 2.79654, 2.37757, 2.15155, 0.00380581
93.6295, -0.336617, 1.36944, -8.32542, 515, 0.264533, 0.688452, 4.05648, 2.49669, 2.39372, 2.19398, 2.13104, 0.0526661
90.5849, 0.0129808, 0.15421, -11.37, 488, 1.41163, 0.526656, 2.52083, 2.33472, 2.17568, 1.8185, 1.72948, 0.0139231
86.1655, -0.16771, 4.58858, -15.7894, 674, 0.273765, 0.47085, 2.32209, 1.94634, 1.76547, 1.72174, 1.55396, 0.00710664
85.2121, -0.368096, 2.96417, -16.7428, 521, 0.251371, 0.542752, 2.93005, 2.15536, 1.93991, 1.74165, 1.67014, 0.00582544
78.1616, -0.48615, 3.49245, -23.7933, 515, 0.242318, 0.550434, 3.37121, 2.14698, 2.11988, 1.96296, 1.60163, 0.00159008
75.2696, 0.0138848, 5.27132, -26.6853, 514, 0.258433, 0.515545, 2.75013, 2.12251, 2.02605, 1.74683, 1.7464, 0.0204213
72.357, 0.371207, 2.62761, -29.5979, 372, 0.247853, 0.646045, 1.99849, 1.82379, 1.64985, 1.63822, 1.58622, 0
54.9958, 0.322704, 4.842, -46.9591, 394, 0.223312, 0.572873, 2.15853, 2.09353, 1.67293, 1.53576, 1.51978, 0.00478513
53.0262, 0.137454, 3.07442, -48.9287, 352, 0.22394, 0.490984, 2.69023, 2.45912, 1.7797, 1.74107, 1.50518, 0.00213997
46.2282, 0.0688874, 0.662042, -55.7267, 317, 0.250857, 0.525321, 2.11829, 1.9955, 1.99441, 1.46942, 1.44043, 0.0402112
36.9596, -0.271492, 4.0845, -64.9953, 229, 0.229823, 0.615993, 2.71522, 2.10902, 1.94795, 1.79674, 1.4601, 0
24.1761, -0.0450911, 1.94837, -77.7788, 236, 0.201759, 0.409764, 1.47105, 1.2552, 1.12313, 1.03127, 0.917741, 0
10.1166, -0.0621201, 1.04263, -91.8383, 53, 0.0762942, 0.674437, 2.29423, 1.93206, 1.12901, 0.984804, 0.822822, 0.281753
96.1595, -0.159994, 4.03284, -4.35513, 667, 0.266909, 0.485654, 3.01752, 2.76038, 1.99741, 1.94846, 1.91755, 0.000489605
91.2534, 0.441401, 2.30011, -9.2612, 629, 0.258284, 0.54972, 2.23973, 1.93185, 1.70372, 1.60234, 1.55285, 0.0116377
